Compressed Graph A* Comparison Summary
runs: 30
compression_mode: optimized
avg_normal_visited: 77.27
avg_compressed_visited: 6.97
avg_visited_reduction_percent: 91.31
avg_normal_path_length: 68.53
avg_compressed_path_length: 68.53
avg_normal_ms: 0.4496
avg_compressed_build_ms: 2.4418
avg_compressed_search_ms: 0.0404
avg_compressed_total_ms: 2.4822
avg_time_reduction_percent: -497.43
all_path_lengths_equal: True
